Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
05/04/2021,466,6,53,79,125,80,84,39,32,14,13,0,245,221,0,113,22,202,61,9,59,0,0,0,0,0,1,3,2,0,1,5,0,0,0,5,1,0,0,2,1,6,9,15,9,6,5,0,26,27,0,6,1,36,10,0,0
11/04/2020,2513,8,96,303,707,563,365,289,173,84,29,0,1289,1214,10,1024,74,399,687,84,245,0,0,0,0,0,1,2,5,0,5,3,0,5,0,1,2,0,0,4,5,4,9,25,16,24,9,0,49,47,0,33,1,36,23,3,0
10/22/2021,306,5,17,65,51,79,35,37,23,10,6,0,153,151,2,63,11,62,98,26,46,0,0,0,0,2,0,2,1,0,3,2,0,2,0,1,2,0,0,1,1,4,0,4,2,4,1,0,10,7,0,4,0,8,2,3,0
02/25/2022,189,5,14,39,46,35,20,20,15,8,5,1,94,95,0,30,7,34,62,19,37,0,0,0,0,1,1,0,3,0,3,2,0,2,0,0,3,0,0,0,2,2,1,3,1,3,1,1,6,8,0,2,0,5,6,0,1
06/14/2020,92,12,27,6,22,18,20,14,6,2,4,0,44,48,0,38,1,28,7,6,12,0,0,0,1,1,3,2,5,0,6,6,0,5,0,3,4,0,0,2,4,1,6,3,5,3,3,0,11,16,0,12,1,10,1,2,1
11/06/2021,316,4,18,62,62,75,48,31,22,9,7,0,158,154,4,47,4,59,107,31,68,0,0,0,0,0,1,0,3,0,2,2,0,0,0,4,0,0,0,0,2,4,2,0,1,5,4,0,9,9,0,4,1,6,5,1,1
06/19/2020,220,15,37,28,69,38,29,24,16,9,7,0,112,106,2,96,3,55,33,8,25,0,0,0,1,3,3,2,6,0,7,8,0,3,1,5,6,0,0,3,4,2,6,7,8,3,4,0,18,19,0,12,0,19,5,1,0
06/02/2020,247,25,50,14,35,45,44,31,34,18,26,0,122,114,11,98,14,67,24,10,34,0,0,1,0,3,3,4,14,0,12,13,0,15,2,5,3,0,0,0,4,4,4,9,12,12,5,0,22,28,0,21,2,15,11,1,0
11/10/2021,593,2,31,164,133,119,70,39,39,15,14,0,304,286,3,88,15,145,168,52,125,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,1,2,3,4,8,7,5,0,16,15,0,4,0,15,11,0,1
09/08/2020,369,1,21,36,120,80,55,40,23,10,5,0,181,188,0,192,11,45,97,4,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,2,4,4,4,0,7,14,0,11,0,5,4,0,1
11/01/2021,440,3,33,108,66,96,52,56,37,16,9,0,233,206,1,93,6,110,134,36,61,0,0,0,0,0,0,2,1,0,1,2,0,0,1,1,1,0,0,2,4,2,2,1,11,5,6,0,14,19,0,5,0,21,7,0,0
10/19/2021,322,2,21,77,61,64,42,29,29,14,6,0,183,139,0,50,11,69,120,27,45,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,4,1,5,3,3,2,3,0,13,8,0,3,0,12,4,2,0
08/31/2020,413,2,30,58,121,72,60,49,29,15,9,0,217,195,1,189,4,63,101,14,42,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,2,5,2,5,2,4,4,6,0,14,16,0,5,1,16,4,3,1
